Date,Open,High,Low,Close,Adj Close,Volume
2017-04-18,141.410004,142.039993,141.110001,141.199997,141.199997,14697500
2017-04-19,141.880005,142.000000,140.449997,140.679993,140.679993,17328400
2017-04-20,141.220001,142.919998,141.160004,142.440002,142.440002,23319600
2017-04-21,142.440002,142.679993,141.850006,142.270004,142.270004,17320900
2017-04-24,143.500000,143.949997,143.179993,143.639999,143.639999,17134300
2017-04-25,143.910004,144.899994,143.869995,144.529999,144.529999,18871500
2017-04-26,144.470001,144.600006,143.380005,143.679993,143.679993,20041200
2017-04-27,143.919998,144.160004,143.309998,143.789993,143.789993,14246300
2017-04-28,144.089996,144.300003,143.270004,143.649994,143.649994,20860400
2017-05-01,145.100006,147.199997,144.960007,146.580002,146.580002,33602900
2017-05-02,147.539993,148.089996,146.839996,147.509995,147.509995,45352200
2017-05-03,145.589996,147.490005,144.270004,147.059998,147.059998,45697000
2017-05-04,146.520004,147.139999,145.809998,146.529999,146.529999,23371900
2017-05-05,146.759995,148.979996,146.759995,148.960007,148.960007,27327700
2017-05-08,149.029999,153.699997,149.029999,153.009995,153.009995,48752400
2017-05-09,153.869995,154.880005,153.449997,153.990005,153.990005,39130400
2017-05-10,153.630005,153.940002,152.110001,153.259995,153.259995,25805700
2017-05-11,152.449997,154.070007,152.309998,153.949997,153.949997,27255100
2017-05-12,154.699997,156.419998,154.669998,156.100006,156.100006,32527000
2017-05-15,156.009995,156.649994,155.050003,155.699997,155.699997,26009700
2017-05-16,155.940002,156.059998,154.720001,155.470001,155.470001,20048500
2017-05-17,153.600006,154.570007,149.710007,150.250000,150.250000,50622900
